Company Name,short description,num of founders,founders,funds total,website url,valuation,num of articles
OpenAI,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,6,"['Elon Musk', 'Greg Brockman', 'Ilya Sutskever', 'John Schulman', 'Sam Altman', 'Wojciech Zaremba']","{'value_usd': 100000000, 'currency': 'USD', 'value': 100000000}",https://www.openai.com,"{'value_usd': 29000000000, 'currency': 'USD', 'value': 29000000000}",1032
Intel,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",3,"['Gordon Moore', 'Patrick Reilly', 'Robert Noyce']",,http://www.intel.com/,,36131
SandboxAQ,SandboxAQ is an enterprise SaaS company that provides AI and quantum computing solutions.,,[],,https://www.sandboxaq.com,,21
Cyble,World's fastest-growing threat intelligence provider (YC W21).,2,"['Beenu Arora', 'Manish Chachada']",,https://cyble.com,,2205
Typeface,Typeface is a generative AI application for creating enterprise content.,1,['Abhay Parasnis'],,https://www.typeface.ai,,4
NVIDIA,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",3,"['Chris Malachowsky', 'Curtis Priem', 'Jensen Huang']",,https://www.nvidia.com,,16907
Jasper,Jasper is an AI content platform that allows individuals and teams to use AI to scale their content strategies.,2,"['Dave Rogenmoser', 'John Philip Morgan']",,https://jasper.ai,"{'value_usd': 1500000000, 'currency': 'USD', 'value': 1500000000}",14
Arloid Automation,The ultimate AI solution for energy efficiency,3,"['Max Zubov', 'Sergey Shalunov', 'Vladimir Pushmin']",,https://arloid.com,,371
Stability AI,Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given.,2,"['Cyrus Hodes', 'Emad Mostaque']",,https://www.stability.ai,"{'value_usd': 1000000000, 'currency': 'USD', 'value': 1000000000}",31
Una Brands,Una Brands provides a streamlined way for e-commerce business owners to sell their companies.,5,"['Adrian Johnston', 'Kiren Tanna', 'Kushal Patel', 'Srinivasan Shridharan', 'Tobias Heusch']",,https://www.una-brands.com,,25
